"Flonase Sensimist Children's Decongestant Allergy Relief Medicine Nasal Spray, Gentle Mist, 60 Sprays",415594531,Active Ingredients: In each spray: Fluticasone furoate 27.5 mcg (glucocorticoid) - Allergy symptom reliever. Read the Question & Answer Book.
"Claritin 24 Hour Allergy Medicine, Non-Drowsy Prescription Strength Allergy Relief, Loratadine Antihistamine Tablets, 100 Count",910328526,
125-Pack Litepak Disposable Face Mask Premium Comfort Earloops with Dispenser Box (Pink),516917378,
"Zarbee’s Kids All-in-One Daytime Cough, Age 6-12, Honey, Turmeric, B3,6,12 & Zinc, Grape, 4FL Oz",248513248,"Niacin (as niacinamide), Vitamin B6 (as pyridoxine HCI), Vitamin B12 (as cyanocobalamin), Zinc (as zinc gluconate), Proprietary Blend of Dark Honey, English Ivy (Hedera helix) Leaf Extract, Turmeric Root Extract, Marshmallow Root Extract, Water, Natural Flavor, Citric Acid"
Timely - Ibuprofen 200mg - 500 Tablets - Compared to Advil Tablets - Pain Relief and Fever Reducer,2998185612,
"Vicks DayQuil & NyQuil Vapocool Caplets, Severe Cold & Flu Relief, over-the-counter Medicine, 24 Ct",40724721,"DayQuil:Active: Acetaminophen 325 mg, Dextromethorphan HBr 10 mg, Guaifenesin 200 mg, Phenylephrine HCl 5 mgInactive: Croscarmellose Sodium, Crospovidone, FD&C Yellow No, 6 Aluminum Lake, Flavor, Maltodextrin, Microcrystalline Cellulose, Polyethylene Glycol, Polyvinyl Alcohol, Povidone, Pregelatinized Starch, Silicon Dioxide, Stearic Acid, Sucralose, Talc, Titanium DioxideNyQuil:Active: Acetaminophen 325 mg, Dextromethorphan HBr 10 mg, Doxylamine succinate 6,25 mg, Phenylephrine HCl 5 mgInactive: Crospovidone, D&C Yellow No, 10 Aluminum Lake, FD&C Blue No, 1 Aluminum Lake, FD&C Blue No, 2 Aluminum Lake, FD&C Yellow No, 6 Aluminum Lake, Flavor, Magnesium Stearate, Microcrystalline Cellulose, Polyethylene Glycol, Polyvinyl Alcohol, Povidone, Pregelatinized Starch, Silicon Dioxide, Stearic Acid, Sucralose, Talc, Titanium Dioxide"
"Equate Children’s Allergy Relief, Grape Flavored Liquid, 8 fl. Oz.",655070775,"Active ingredient (in each 5 mL teaspoonful): Loratadine 5 mg. Inactive ingredients: edetate disodium, glycerin, maltitol, monobasic sodium phosphate, natural and artificial grape flavor, phosphoric acid, propylene glycol, purified water, sodium benzoate, sorbitol, sucralose."
"100 Pack USA Made Blue Disposable Face Masks 3 Ply for Protection, Elastic Ear Loop Filter Mask for Aldult",525510857,
"100 Pack USA Made Disposable Face Masks Black, 3 Ply Breathable Protection Mask",303245039,
"Vicks Children's Daytime Cough & Congestion Relief Liquid Medicine, Over-the-Counter Medicine, 6 oz",223711022,"Active Ingredients (in each 15 mL): Dextromethorphan HBr 10 mg (Cough Suppressant), Guaifenesin 200 mg (Expectorant), Phenylephrine HCl 5 mg (Nasal Decongestant)Inactive Ingredients: Anhydrous Citric Acid, Flavor, Glycerin, Propylene Glycol, Purified Water, Saccharin Sodium, Sodium Benzoate, Sodium Chloride, Sodium Citrate, Sorbitol Solution, Sucralose"
GenCare - Nasal Decongestant Phenylephrine HCl (300 Tablets) | Non Drowsy,480827738,
"Zyrtec 24 Hour Allergy Relief Chewables, Cetirizine HCl, 24 Ct",855442478,"Active ingredient (in each chewable tablet)Cetirizine HCl 10 mgPurposeAntihistamineInactive ingredients  betadex, corn starch, lactose monohydrate, magnesium stearate, mannitol, silicified microcrystalline cellulose, sucralose"
"Xyzal Children's Allergy 24HR Oral Solution, Grape, 5 Fluid Ounce (Pack of 3)",1668475009,
"Kids Xlear Sinus Spray, 0.75 oz",160888785,"Purified Water, Xylitol, Saline, Grapefruit Seed Extract"
Ayr Saline Nasal Gel 0.50 oz,594650611,"Water, methyl gluceth-10, propylene glycol, glycerin, glyceryl polymethacrylate, triethanolamine, aloe barbadensis leaf juice (aloe vera gel), peg/ppg-18/18 dimethicone, carbomer, poloxamer 184, sodium chloride, xanthan gum, diazolidinyl urea, methylparaben, propylparaben, glycine soja (soybean) oil, geranium maculatum oil, tocopheryl acetate, blue 1"
"Hair Hero - Healthy Hair, Skin, and Nails - 5000 mcg Biotin | Essential Elements - 60 Day Supply (2-Pack)",2190338817,"Vitamin A (as Retinyl Palmitate), Vitamin E (as d-Alpha Tocopheryl Succinate)""
Vitamin K (as Phytonadione), Thiamin (as Thiamin HCl), Riboflavin, Niacin (as Nicotinic Acid), Vitamin B6 (as Pyridoxine HCl), Folate, Biotin, Pantothenic Acid (as D-Calcium Pantothenate), Iron (as Iron Glycinate), Zinc (as Zinc Amino Acid Chelate), Methylsulfonylmethane (MSM), Hydrolyzed Marine Collagen, Organic Kelp Extract, Saw Palmetto Berry Extract, Bamboo Stem & Leaf Extract (70% Silica), Horsetail Grass, Flaxseed Oil Extract, Borage Oil Extract, Vegetable Cellulose Capsule, Silica

^within the normal growth range"
"HALYARD Disposable Child's Face Mask w/SO SOFT Earloops, Pleat-Style, Teddy Bear, 47359 (Box of 75)",1462795934,
"NutraMASTIC Nasal Spray , 100% All Natural, Non-Addictive, Safe Nasal Congestion, Headache, and Dizziness. 1 Fl Oz Spray Bottle",307033194,
Vicks VapoRub Cough Suppressant Topical Analgesic Ointment 1.76 oz Pack of 6,322824921,
"Alavert 24 Hour Orally Disintegrating Tablets Citrus Burst, 60 ea (Pack of 4)",162205448,"Ingredients Anhydrous citric acid, aspartame, butylated hydroxyanisole, colloidal silicon dioxide, corn syrup solids, crospovidone, dextrin, ferric oxides, magnesium stearate, maltodextrin, mannitol, microcrystalline cellulose, modified starch, natural and artificial flavors, sodium bicarbonate"
Silarx Children's Loratadine Oral Solution Allergy Antihistamine Non-Drowsy 120 Ml 4 Oz 1 Pack,48319867,
HALLS® Mentho-Lyptus Scented Vapor Pads,533047880,"Ingredients: EUCALYPTUS OIL, MENTHOL, CAMPHOR, PEPPERMINT OIL, SPEARMINT OIL & OTHERS"
Allegra 24 Hour Allergy Relief 180mg (110 Count),163933142,
"Major Chlorpheniramine Maleate Allergy Tablets, 4 mg, 1000 Count",150561354,
NasalCrom Nasal Spray 0.88 oz,685315994,
"Lastacaft Once Daily Eye Allergy Itch Relief Drops, 1 Count, 5 mL",735416475,"Active Ingredients: Alcaftadine 0.25% <br><br> Inactive Ingredients: Benzalkonium chloride 0.005%, edetate disodium, monobasic sodium phosphate, purified water, sodium chloride, sodium hydroxide and/or hydrochloric acid"
"KS  Non Drowsy Allerclear Loratadine Tablets, Antihistamine, 10mg,  365 Tablets",705817483,
"Stamens Ointment,20g Sore Throat Cream Dry Itchy Pharyngitis Treatment Ointment Bad Breath Soothing Health Care Supplies",1835730863,
"Baby Nasal Irrigator, Nose Cleaner 20ml Portable  For Nursling For Washing",2021440989,
"SafeRest Waterproof Fitted Cotton Terry Mattress Encasement, Queen",104192956,
"Mezzati Premium Mattress Protector Cover - Cotton Terry Top - Waterproof, Vinyl Free - Stain Resistant - Extra Deep Fitted Pockets (Full)",126042542,
WALFRONT 10Pcs Belly Button Patch Navel Sticker Fat Burning Slimming Patch Pads for Men and Women,729591536,
"Benadryl Allergy Ultratab Packet Dispensers , 60 ea (Pack of 4)",545850035,
Zicam Allergy Relief Nasal Gel 0.50oz Each,777870859,
"3 Pack - NeilMed NasoGEL For Dry Noses, Drip Free Gel Spray 1 fl oz Bottle Each",155013611,
"Portable Vaporizers Inhaler for Kids Adults Asthma, Cough and Sore Throat",937760754,
Reliable 1 Chlorpheniramine Maleate 4mg 100 Tablets (1 Bottle),466949552,
Dr. Shen's - Pe Min Kan Wan Sinus Nasal Decongestion - 90 Tablets,26967215,"Dr. Shen's - Pe Min Kan Wan Sinus Nasal Decongestion - 90 Tablets              Supplement Facts    Serving Size: 3-6 Tablets    Servings Per Container: 30 - 15          Amount Per Serving   %DV        Angelica Dahurica, Angelica Root, Bai Zhi  210 mg  *        Magnolia Flos, Magnolia Bud,&nbsp;Xin Ye Hua  126 mg  *        Agastach Pogostemi, Patchouli Plant, Huo Xiang  84 mg  *        Pueraria Radix, Kudzu Root, Ge Gen  84 mg  *        Chrysanthemomi Flos, Chrysanthemum Flower, Ju Hua  49 mg  *        Liguisticum Wallichi, Szechuan Lovage Root, Chuan Xiong  49 mg  *        Liquidambar Fructus, Liquidambar Fruit, Lu Lu Tong  49 mg  *        Xanthium Fructus, Cocklebur Fruit, Cang Er Zi  49 mg  *        *Daily Value Not Established.†Percent Daily Values are based on a 2,000 calorie diet. Your diet values may be higher or lower depending on your calorie needs.    Other Ingredients: Angelica dahurica, angelica root, bai zhi angelical, byakangelicol, imperatorin, magnolia flos and magnolia bu."
Allegra 24 Hour Allergy Relief 180 Mg - 90 Ct,529971873,
"Benadryl Ultratabs Go Packs, 60 Packets of 2 Tablets",770017855,"Active ingredient (in each tablet): Diphenhydramine HCl 25 mgPurposeAntihistamineInactive ingredients: Carnauba wax, croscarmellose sodium, D&C red no. 27 aluminum lake, dibasic calcium phosphate, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, titanium dioxide"
"Guaifenesin Caplets, 400mg, [Compare to Mucinex] (Bottle of 100) Mucus Relief GC",699112009,Guaifenesin
"Herbion Naturals Nasal Inhaler Non-Medicated, 0.05 Fl Oz (1.5ml) - Relieves Nasal Congestion & Blockage, Sinusitis & Allergic Conditions - Menthol, Clove Oil, Eucalyptus Oil & Camphor",914142677,"Menthol, Clove Oil, Eucalyptus Oil, Camphor."
"Astepro Allergy, Steroid Free Antihistamine Nasal Spray, 120 Metered Sprays *EN",2086201549,"Azelastine HCL, Benzalkonium Chloride, Edetate Disodium, Hypromellose, Purified Water, Sodium Citrate, Sorbitol, Sucralose"
HALLS® Mentho-Lemon Scented Vapor Pads,570190752,"Ingredients: MENTHOL, EUCALYPTUS OIL, CAMPHOR, PEPPERMINT OIL, SPEARMINT OIL, LEMON OIL & OTHERS"
"Perrigo Loratadine Tablets, 10 mg, 300 Count",122245038,
"Boiron Coldcalm Kids Liquid Dose, Homeopathic Medicine for Cold Relief, Sneezing, Runny, 30 Single Liquid Doses",998824795,"Active Ingredients: Allium cepa 3C HPUS (0.125 mL) ... Relieves sneezing and runny nose*. Apis mellifica 15C HPUS (0.125 mL) ... Relieves nasal congestion*. Eupatorium perfoliatum 3C HPUS (0.125 mL) ... Relieves body aches associated with colds*. Gelsemium sempervirens 6C HPUS (0.125 mL) ...Relieves headeaches associated with colds*. Kali bichromicum 6C HPUS (0.125 mL) ... Relieves nasal discharge*. Nux vomica 3C HPUS (0.125 mL) ... Relieves sneezing attacks*. Phytolacca decandra 6C HPUS (0.125 mL) ... Relieves mild fever*. Pulsatilla 6C HPUS (0.125 mL) ... Relieves colds with a loss of taste and smell*.
Inactive Ingredients: alcohol, purified water."
"Live Conscious LiverWell Liver Cleanse with NAC, 800 mg, 30 servings",2432807647,
"Claritin RediTabs 10 mg. 24 Hour Non-Drowsy, 70 Disintegrating Tablets",978635147,
Ricola Sugar Free Lemon Mint Throat Drops - 45 Count,17219154,"Active Ingredients: Menthol (1.1 mg), Oral Anesthetic. Inactive Ingredients: Ascorbic Acid (Vitamin C), Aspartame, Citric Acid, Extracts of Lemon Balm and a Ricola Herb Mixture (Elder, Horehound, Hyssop, Lemon Balm, Linden Flowers, Mallow, Peppermint, Sage, Thyme, Wild Thyme), Isomalt, Natural Color (Beta-Carotene), Natural Flavors."
"HealthA2Z® Fluticasone Propionate Nasal Sprays, 24 Hour Allergy Relief,120 Sprays, 0.54 fl oz",640506012,Fluticasone Propionate 50mcg
Wave Compact Compressor for Adults and Kids with Full Accessory Kit and Easy-to-Use Instructions,1541611799,
"Benadryl Itch Stopping Cream, Extra Strength, Topical Analgestic / Skin Protectant 1 Ounce",107633587,"Ingredients: Diphenhydramine hydrochloride 2% (Topical analgesic)Zinc acetate 0.1% (Skin Protectant) In Cetyl alcohol, diazolidinyl urea, methylparaben, polyethylene glycol monostearate 1000, propylene glycol, propylparaben, purified water"
2 Pack- Ayr Saline Nasal Gel 0.50oz Each,151525878,
"Zicam Nasal AllClear, Triple Action Nasal Cleanser with Cooling Menthol, Protect, Soothe, Cleanse Nasal Passages, Sinus Relief, Drug-Free, 10 count",153002087,"Ingredients: purified water, hydroxypropyl methylcellulose, disodium phosphate, monosodium phosphate, sodium chloride, succinic acid, glycine, polysorbate 80, menthol, sodium saccharin, eucalyptol, benzalkonium chloride, phenethyl alcohol, eugenol, aloe vera barbadensis gel, sodium hyaluronate"
Benadryl Extra Strength Analgesic Skin Protectant Itch Relief Stick 0.47 oz,442011790,Diphenhydramine
Allegra Allergy Relief Non-Drowsy Antihistamine 24-Hour Allergy Relief 180 mg 90 tablets *EN,2476533888,
"Afrin No-Drip Severe Congestion 12 Hours Nasal Spray, 3x20mL",1662897266,
"Kirkland Signature Aller-Flo, 5 Bottles",164012844,N/A
"Alavert Allergy Relief, Orally Disintegrating Non-Drowsy Antihistamine Tablets, Citrus Burst, 18 Count",860987914,"Active ingredient (in each tablet): Loratadine 10 mg. Inactive ingredients: anhydrous citric acid, aspartame, butylated hydroxyanisole, colloidal silicon dioxide, corn syryp solids, crospovidone, dextrin, ferric oxides, magnesium stearate, maltodextrin, mannitol, microcrystalline cellulose, modified starch, natural and artificial flavors, sodium bicarbonate."
"HALYARD FLUIDSHIELD 3 Disposable Procedure Mask, w/SO SOFT Earloops, Fog-Free, Pleat-Style, Orange, 28797 (Box of 40)",901415283,
"Major Banophen Diphenhydramine Capsules, 50 mg, 1000 Count",164304338,
"Flonase Sensimist Allergy Relief Nasal Spray, 240 Count 2 bottles(0.62fl.oz) of 0.31fl.oz",1896987314,
"Nascool Electric Nasal Irrigation System with 50 Salt Packets,  Sinus Rinse Cleaner & Nose Washer",3894418929,
Chlorpheniramine Maleate 4 MG | Antihistamine | 1000 Count Tablets,448407211,
"Children?s Benadryl Allergy Chewable Tablets, Grape, 20 Ea",745146996,
Portable Nebolizador Inhaler for Adults and Kids with Full Set of Accessories,2568264102,
Allegra Children's 12 Hour Non-Drowsy Antihistamine Allergy Relief Medicine 30mg Grape Flavor Liquid 4oz,640092023,"Ingredients: Active Ingredients: In Each 5 ml: Fexofenadine HCl (30 mg). Purpose: Antihistamine. Inactive Ingredients: Butylparaben, Edetate Disodium, Flavor, Poloxamer 407, Propylene Glycol, Propylparaben, Purified Water, Sodium Phosphate Dibasic Heptahydrate, Sodium Phosphate Monobasic Monohydrate, Sucrose, Titanium Dioxide, Xanthan Gum, Xylitol. Each 5 mL Contains: Sodium 18 mg"
Zicam Intense Sinus Relief Liquid Nasal Gel 0.50oz Each,313733637,
"New! 2020 Model Mypurmist Free Ultrapure Handheld Personal Vaporizer and Humidifier (Cordless), Premium Kit",995986075,
"NasalGuard Air Travelers Nasal Gel, Fast Acting Allergen Blocker & Symptom Reliever, Non-Drowsy, Helps Block Harmful Airborne Particles (3 Gram - Cool Menthol)",1057133340,
"AllSettHealth Bed Wedge Pillow – 2 in 1 Design- Adjustable to 4.5, 7.5 & 12 inches – Combination Zipper Technology | Gray | Memory Foam | Machine Washable",424489094,
"AllergyCare Cotton Mattress Encasing |Twin 39"" x 75"" x 12""",23450455,
"Bare Home Ultra-Soft Goose Down Alternative Comforter Set, Twin/Twin XL, Taupe",892648233,
"Equinox Alternative Goose Down White Comforter, 350 GSM, Hypoallergenic, Queen Size, 80"" X 80""",173093717,
"DMI Waterproof Mattress Protector and Mattress Cover, Encased Zippered Fit, Twin",25487979,
"Premium Microfiber Mattress Cover Waterproof Shield Zippered Mattress Protector Shield Encasement, Velcro Zip,  Ultra Soft Full Size",161435177,
"Signature Aller-Tec Cetirizine Hydrochloride Tablets, 10 mg, 365 Count",382772657,
5 Pack 4 Way Fast Acting Nasal Decongestant Sinus Spray 1 Fl Oz each,178241818,
SinusClear,25072395,"Ridgecrest Herbals - SinusClear Complete Sinus Support - 60 Vegan Caps              Supplement Facts    Serving Size: 2 capsules    Servings Per Container: 30          Amount Per Serving   %DV        Vitamin C (from ascorbate)  25mg  45%        Zinc (from ascorbate)  5mg  30%        Bromelain  138mg  (No DV)        SinusClear herbal blend(mormon tea leaf, mullein leaf, astragalus root, olive leaf extract, stinging nettle leaf, rosemary leaf, yerba santa leaf, rooibos leaf, eucalyptus leaf, fragrant angelica root, burdock root)  1060mg  (No DV)        AvailaBlend Bioavailability Complex(Sichuan pepper, Ginger root, Black Pepper, Habanero pepper)  10mg  (No DV)        *Daily Value Not Established.†Percent Daily Values are based on a 2,000 calorie diet. Your diet values may be higher or lower depending on your calorie needs.    &nbsp;    Ingredients: micro-crystalline cellulose, cellulose capsule, silica."
LiviaOne Probiotics Nasal Spray - 1oz USDA Organic Certified - All Natural - Wild Crafted - Helps Nasal Congestion - Sinusitis Relief - Runny Nose and Sneezing Relief,488054512,"Proprietary Probiotic Blend: Lactobacillus Acidophilus, Lactobacillus Rhamnosus, Streptococcus Thermophilus, Casei, in an enzyme enriched substrate. 

LiviaOne Propritary Probiotics. An enzyme-enriched substrate. Made from water and proprietary blend of three Organic grasses.

LiviaOne™ Probiotics Nasal Spray is a safe all-natural plant-based probiotic spray that helps aide nasal congestion, running nose, and other irritants. (1 Fl Oz 30 ml spray bottle)

Natural. Organic. Chemical Free."
Zand Immunity Orange C HerbaLozenge | Vitamin C Throat Drops w/ Soothing Herb Extracts | Non-GMO (80 Lozenges),958695422,"Brown Rice Syrup, Vitamin C (as Ascorbic Acid), Orange Juice, Natural Orange Flavor, Hibiscus Flower Extract, Orange Peel Extract, Lemon Peel Extract, Rose Hips Extract, Lemongrass Extract, Perilla Leaf Extract, Schizonepeta Herb Extract."
Nasopure - Sampler Kit Nasal Wash System,609876453,
"Genexa Cold Crush - 60 Tablets – Multi-Symptom Cough & Cold Remedy - Certified Vegan, Organic",1880639418,
"DMI Weekly Pill Organizer Box, Medicine, Vitamin and Supplement Organizer Container, 7 Day Pill Planner Medication Case, Travel Pill Holder, Large Pill Dispenser and Sorter Box",36782342,
"basic care children's all day allergy cetirizine hcl oral solution, 8 ounce",924418943,essential
"Equate Earloop Face Masks, White, 25 Count",780388666,
"Zyrtec Indoor & Outdoor Allergy Relief, 40-Count Liquid Gels",326149101,
6 Pack Dristan Nasal Spray 12 Hour Nasal Decongestant 0.5 Oz Each,698573383,
Ancient Secrets Nasal Cleansing Neti Pot - Plastic - 1 Pot,32687227,
NeilMEd Sinus Rinse Dry Dock Stand Assorted Colors  1 Count  Pack of 2,401891505,
"Equate Maximum Strength Severe Allergy Plus Sinus Headache Caplets, 20 Count",14053317,
Zyrtec Allergy 10 mg Liquid Gels 40 Liquid Gels,744660585,Gelatin; Glycerin; Mannitol; Pharmaceutical Ink; Polyethylene Glycol 400; Purified Water; Sodium Hydroxide; Sorbitan; Sorbitol; Cetrizine HCl 10 mg
Afrin Allergy Sinus Nasal Spray 0.50 oz,675394293,
"TYLENOL Sinus Congestion & Pain Caplets, Daytime 24 ea",338779213,
"6 Pack - Breathe Right Nasal Strips Extra Strength, 26 Each",137969065,
"Sudafed PE Day and Night Sinus Pressure & Congestion Tablets, 20 Count",1404027904,
"Vicks Sinus Non Medicated Steam Inhaler, For Allergies, Cough and Colds, White, VIH200",643531902,"Scented Pad Ingredients: Eucalyptus Oil, Menthol, Glycol, Cedar Leaf Oil & Others."
"Claritin OHM Loratadine USP 10mg Antihistamine 24Hr Allergy Relief, 100ct",346477472,
"Redd Remedies, Adult Sinus Support, Respiratory and Immune Health Formula, 72 Capsules",160930695,"Vitamin c, quercitin, n-acytel cysteine, citrus bioflavonoid complex, bromelain, stinging nettle leaf, barberry root extract, ivy leaf extract, organic dehydrated can juice, microcrystalline cellulose, vegetarian source stearic acid, modified cellulose gum, vegetarian source magnesium stearate, silicon dioxide"
"SinuPulse Traveler - Cordless Pulsating Sinus Irrigation, Nasal Rinse, Cleaner & Relief Machine for Travel - Relieve Congestion with Advanced Pulse Rinsing System",195573503,
"Down Alternative Double-Filled Comforter %100 HypoAllergenic -, Full/Queen, White",192475518,
5 Pack - Breathe Right Nasal Strips Extra 26 Each,118564000,
"Equate Allergy Relief Diphenhydramine Tablets 25mg, 365 Count",40816795,"Active Ingredients: In Each Tablet Diphenhydramine HCI (25 mg). Purpose: Antihistamine. Inactive Ingredients: Corn Starch, D&C Red 27 Aluminum Lake, Dicalcium Phosphate, Magnesium Stearate, Microcyrstalline Cellulose, Polyethylene Glycol, Polyvinyl Alcohol, Silicon Dioxide, Stearic Acid, Talc, Titanium Dioxide."
"Alavert 24-Hr Allergy Relief Disintegrating Tablets Citrus Burst, 60 Ea (Pack of 5)",389329380,
Advil Allergy & Congestion Relief Tablets 20 Tablets (Pack of 3),48683501,
"Major 4-Hour Allergy 100 Ea 4mg Tablet Form , Antihistamine OTC Medicine, 2-Pack",960854101,
XYZAL Allergy 24 hour 110 Tablets,135549184,
"Advil, Allergy & Congestion Relief Tablets, Count 1 - Headache/Pain Relief / Grab Varieties & Flavors",374755229,
"Nascool Mucus Relief Device &  Mucus Removal Device & Lung Exerciser Device with Travel Case, Clears Congestion from Lungs and Airways, Breathe Easier, Sleep Better",1649089504,
"Kirkland Signature Allergy Medicine 25 mg., 600 Minitabs",111354817,Read Label
"2 Pack Neo-Synephrine Nasal Spray, Extra Strength Formula, 0.50 Ounces Each",963209174,
Benadryl Extra Strength Itch Stopping Gel 3.5 oz,358242181,
Allegra Allergy Tablets 12 Hour 12 ea,879326624,
"Zyrtec 24 Hour Allergy Relief Tablets with 10 mg Cetirizine HCl, 60Ct",270328399,"Active ingredient (in each tablet): PurposeCetirizine HCl 10 mg ..................................... AntihistamineInactive ingredients: colloidal silicon dioxide, croscarmellose sodium, hypromellose, lactose monohydrate, magnesium stearate, microcrystalline cellulose, polyethylene glycol, titanium dioxide"
"Neo Synephrine Mild Strength Cold & Sinus Nasal Decongestant Spray, 0.5 Fl. Oz.",134099791,
Advil Allergy & Congestion Relief Tablets 20 Tablets (Pack of 6),535990058,
"Zicam Cold Remedy Cold Shortening Medicated Nasal Swabs Zinc-Free, 20 ct",759575202,
"24 PACKS : Benadryl Allergy Ultratab Tablets, 48-Count",106385730,
"Ultra Strength Bengay Non-Greasy Topical Pain Relief Cream, 4 oz",681185440,"Active ingredientsCamphor 4%Menthol 10%Methyl salicylate 30%PurposeTopical analgesicInactive ingredients carbomer, disodium EDTA, glyceryl stearate se, lanolin, polysorbate 80, potassium hydroxide, stearic acid, triethanolamine, water"
"Salonpas Lidocaine Maximum Strength Pain Relieving Gel-Patch, 6 Patches",54902233,"Active Ingredients: Lidocaine (4%), Purpose: Topical Anesthetic, Inactive Ingredients: Aluminum Silicate, Dihydroxyaluminum Aminoacetate, Disodium Edetate, Gelatin, Glycerin, Methylparaben, Oleic Acid, Polyacrylic Acid, Polyvinyl Alcohol, Propylene Glycol, Propylparaben, Sodium Polyacrylate, Tartaric Acid, Titanium Dioxide, Water"
"BC Powder Original Strength Pain Reliever, Aspirin Dissolve Packs, 50 Count",23598023,"Inactive Ingredients: Docusate Sodium, Fumaric Acid, Lactose Monohydrate, Potassium Chloride and Sodium Benzoate.Active Ingredients: Aspirin (NSAID*) (845 mg), Pain Reliever; Caffeine (65 mg), Pain Reliever Aid."
"Vicks Vapo Shower, Dissolvable Shower Tablets for Cold Relief, Soothing and Non-Medicated, 3 Ct",451257688,"Sodium Carbonate, Sodium Sesquicarbonate, Sodium Bicarbonate, Citric Acid, Camphor, PEG-180, Menthol, Eucalyptus Oil, Nutmeg Oil, Hydroxypropyl Methylcellulose, Cedar Leaf Oil, Canola Oil, Hydroxypropylcellulose, Thymol"
Orajel 4X for Toothache & Gum Pain: Severe Cream Tube 0.33oz- From #1 Oral Pain Relief Brand,11148252,"Benzalkonium chloride 0.13%, Benzocaine 20%, Menthol 0.26%, zinc chloride 0.15%, ammonium glycyrrhizate, flavor, PEG-8, PEG-75, PEG/PPG 116/66 copolymer, poloxmar 407, sodium saccharin, sorbic acid, titanium dioxide, water."
"HALLS Relief Cherry Cough Drops, Economy Pack, 80 Drops",10794773,"Inactive Ingredients Eucalyptus Oil, Fd&<)>Amp;C Blue 2, Fd&<)>Amp;C Red 40,Flavors, Glucose Syrup, Soy Lecithin, Sucralose, Sucrose, Watercontains: Soy."
"Blue-Emu Original Joint and Muscle Cream, OTC Soothes and Supports, 4 oz",10313101,"Water, Emu Oil, Mineral Oil, Glycerin, Dimethyl Sulfone (MSM), Stearic Acid, Cetyl Alcohol, Dimethicone, Acrylates/Acrylamide Copolymer, Polysorbate 85, Cholecalciferol, Tocopheryl Acetate, Retinyl Palmitate, Aloe Barbadensis Leaf Juice (Aloe Vera), Phenoxyethanol, Ethylhexylglycerin, Tetrasodium EDTA, Aesculus Hippocastanum (Horse Chestnut) Extract, Chamomilla Recutita (Chamomile) Flower Extract, Calendula Officinalis (Calendula) Extract, Symphytum Officinale (Comfrey Root) Extract, Zanthoxylum Alatum Fruit Extract, Allantoin, Panthenol, Glucosamine HCl, Triethanolamine, Oleyl Alcohol, Ethoxydiglycol, FD & C Blue #1"
"Equate Effervescent Antacid & Pain Relief Tablets, 36 Count, Original Flavor",10324467,Other information: each tablet contains sodium (524 mg)
"Equate Extra Strength Headache Relief Caplets, 200 Count",41172978,
"Equate Severe Cold & Flu Caplets, 24 Count",14053320,"Active Ingredients (in Each Caplet): Acetaminophen (325 mg), Dextromethorphan HBr (10 mg), Guaifenesin (200 mg), Phenylephrine HCl (5 mg). Inactive Ingredients: Corn Starch, Crospovidone, D&C Yellow 10 Aluminum Lake, Flavor, Magnesium, Stearate, Maltodextrin, Microcrystalline Cellulose, Polyethylene Glycol, Polyvinyl Alcohol, Povidone, Silica Gel, Sodium Starch Glycolate, Stearic Acid, Sucralose, Talc, Titanium Dioxide."
"Children's Motrin Ibuprofen Kids Medicine, Berry Flavored, 8 fl. oz",517070511,"Active ingredient (in each 5 mL)      Purpose   Ibuprofen 100 mg (NSAID)*..........Pain reliever/fever reducer  *nonsteroidal anti-inflammatory drugInactive ingredients acesulfame potassium, anhydrous citric acid, flavors, glycerin, polysorbate 80, pregelatinized starch, purified water, sodium benzoate, sucrose, xanthan gum"
"Excedrin Extra Strength Pain Reliever and Headache Medicine Caplets, 100 Count",10294261,"Active Ingredients: (in each caplet) Acetaminophen 250 mg - Pain reliever. Aspirin 250 mg (NSAID*) - Pain reliever. Caffeine 65 mg - Pain reliever aid. *nonsteroidal anti-inflammatory drug; Inactive Ingredients: Benzoic acid, carnauba wax, FD&C blue #1, hydroxypropylcellulose, hypromellose, light mineral oil, microcrystalline cellulose, polysorbate 20, povidone, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide."
"Backaid Max Maximum Strength Pain Relief Caplets, 28 CT",12166950,"Active Ingredients: In Each Caplet: Acetaminophen (500 mg), Pamabrom (25 mg). Purpose: Analgesic (Pain Reliever), Diuretic. Inactive Ingredients: Calcium Sulfate, Croscarmellose Sodium, D&C Yellow 10 Lake, FD&C Yellow 6 Lake, Hypromellose, Magnesium Oxide, Magnesium Silicate, Magnesium Stearate, Microcrystalline Cellulose, Mineral Oil, Polyethylene Glycol, Polyvinylpyrrolidone, Potassium Gluconate, Sodium Lauryl Sulfate, Sodium Starch Glycolate, Sorbitol, Starch, Stearic Acid, Titanium Dioxide."
